-13.33331966400146 40.99995803833008 2	0.0005769989	-1.814884e-07	58.10801	17.53284	   73.1195145    	17.2327995300293 25405.5899260399 135 220.196852031507 205.4724426269531
-23.33330917358398 182.3331451416016 2	0.0001247943	1.199026e-07	53.89855	31.5268	   76.5644760    	72.25104522705078 16385.86701874602 161.565051177078 223.7492441030649 210.1574859619141
7.333325862884521 89.66657257080078 2	2.559706e-06	1.411205e-08	33.62579	20.14819	   79.0990677    	17.40446281433105 13628.67709943835 135 220.2637817382812 207.4803161621094
-9.33332347869873 170.6664886474609 2	0.003879343	3.192917e-07	59.934	12.57366	   88.3666611    	86.8826904296875 399885.4382735482 -45 218.0664627851066 186.06298828125
-14.66665172576904 205.9997863769531 2	0.0007557027	-2.52217e-07	54.40456	22.57878	   81.0872192    	87.31510925292969 73097.00841423809 -81.86989764584403 216.9112396240234 201.4566955566406
3.333329916000366 79.333251953125 2	0.002109848	4.384321e-07	43.38371	10.8173	   80.5669327    	12.33435535430908 5484.96896005254 0 227.7263793945312 222.8740234375
3.999995708465576 6.999992847442627 3	0.0002041977	7.392102e-08	45.09173	9.485355	   82.9359894    	61.70064926147461 13705.52252482576 143.130102354156 224.6141754150391 219.5275573730469
-14.66665172576904 141.3331909179688 3	0.002385049	-1.85968e-07	51.67964	7.207957	   95.2828445    	17.18375968933105 22578.90509113469 -135 219.8425203211167 208.8188934326172
-6.999992847442627 68.33325958251953 3	0.0009086606	-7.796123e-08	57.32056	5.264215	   88.7977295    	49.41989898681641 10912.27390415578 90 229.4832706451416 224.8818969726562
-7.999991416931152 149.9998474121094 3	0.0156227	-5.947493e-07	92.88683	21.15816	   82.3973923    	78.71566009521484 6804.38185431791 -38.65980825409009 223.8110290527344 214.842529296875
-10.33332252502441 125.6665344238281 3	0.01022252	-7.774237e-07	62.31104	12.90555	   75.9720535    	101.8078536987305 135146.7726749333 -75.96375653207353 214.5011819458008 191.4173278808594
-14.66665172576904 47.33328247070312 3	0.001860245	2.093871e-07	51.80811	7.219875	   82.4907837    	26.892578125 25254.87071487607 153.434948822922 211.7778705797697 192.7559051513672
-7.666658878326416 193.3331298828125 3	0.0007032147	1.378463e-07	68.90086	21.15491	   82.0715790    	39.0334358215332 19060.72832871238 71.56505117707799 225.073116847447 208.8188934326172
-14.99998474121094 178.9998168945312 3	0.0345898	-8.91866e-07	82.82819	12.74904	   79.7440109    	0 13263.49257961301 0 224.5472457885742 214.1732177734375
2.666663885116577 94.99990081787109 3	0.005758849	4.253665e-07	57.64482	10.31343	   84.6369858    	12.35498237609863 8232.751519798354 -90 221.5354283650716 212.1653442382812
18.99998092651367 61.99993515014648 3	1.363411e-05	-3.716733e-07	20.32033	36.14766	   59.1605301    	27.34206962585449 6494.77265199795 116.565051177078 231.1732330322266 228.8976440429688
-17.99998092651367 44.66661834716797 3	0.001946235	1.728438e-07	67.86217	14.92197	   90.0326691    	37.38455200195312 30059.42945079802 161.565051177078 213.3875407343325 198.1102294921875
-14.99998474121094 47.66661834716797 3	0.0002387282	8.174739e-08	47.41187	15.98902	   95.7426071    	17.17087364196777 14592.71725613123 135 213.5647846568714 204.1338653564453
-6.333326816558838 326.9996643066406 3	0.004375315	-2.438621e-07	68.419	9.271433	   82.9720154    	17.42299270629883 36868.41197730407 -45 225.4024494312428 214.1732177734375
-3.999995708465576 144.6665191650391 3	0.0002298618	-3.502656e-08	82.05901	10.1177	   70.3532486    	24.70996475219727 64396.45464199899 90 218.6161869130236 203.4645690917969
-8.666657447814941 47.33328247070312 3	0.0009116492	1.572784e-07	61.19928	15.32088	   82.1452255    	12.21393299102783 19008.27404585268 0 227.1766052246094 213.5039367675781
22.99997520446777 190.9998016357422 3	2.321797e-08	-1.216134e-07	5.902381	47.59978	   49.2915039    	34.11824035644531 8842.59056225383 180 228.1327362060547 226.8897705078125
-11.3333215713501 69.33325958251953 3	1.480377e-07	-9.944304e-08	4.99502	20.6556	   78.4406052    	38.98765563964844 74071.73778074955 108.434948822922 223.020044222745 210.1574859619141
-17.66664886474609 215.6664428710938 3	0.0009640591	-1.109815e-07	60.95621	9.022298	   82.6611328    	37.44613647460938 36638.87903355937 -161.565051177078 222.4437566484724 212.1653442382812
2.333330869674683 146.9998474121094 3	0.02692357	6.707482e-07	75.90742	9.763065	   84.0332565    	34.93481826782227 6863.310634458495 45 218.5905487060547 211.4960632324219
