-8.666657447814941 66.66659545898438 3	-1.451998e-09	76.08189	5.947419	   88.457626    	24.70998001098633 301289.7117329952 90 219.8591914133983 199.4488220214844
-18.99998092651367 61.99993515014648 3	-1.296163e-07	67.7082	13.80206	   65.899940    	48.37820053100586 61084.71395262513 -165.9637565320735 222.7743354959691 211.4960632324219
-5.999993801116943 138.9998474121094 3	-3.741927e-08	49.57015	30.70576	   84.178688    	17.42263603210449 8196.802779454838 135 229.9015757242838 227.5590515136719
-1.999997854232788 119.6665420532227 3	-4.814242e-08	44.74549	3.429239	   84.218987    	24.69955635070801 28831.93496494113 180 226.2523454938616 216.8504028320312
-4.99999475479126 50.33328247070312 3	-1.432489e-07	62.69946	7.568607	   85.866814    	27.60821151733398 64330.94081210863 -116.565051177078 220.9373418929729 205.4724426269531
-20.33331298828125 41.99995803833008 3	-5.115815e-08	58.82014	9.863404	   82.680931    	34.75521469116211 19328.04960008869 180 224.6587951660156 214.842529296875
-5.333327770233154 95.33323669433594 3	4.955802e-10	60.4755	23.37737	   80.392822    	17.43259811401367 13675.51913442068 -45 221.9370101928711 210.8267669677734
4.333328723907471 336.3329772949219 3	3.442155e-08	67.68531	31.46774	   74.991905    	12.31993961334229 13696.32389733048 180 228.429133605957 224.2126007080078
-4.99999475479126 165.6664886474609 3	-9.503482e-08	81.6257	21.49874	   90.710014    	66.34352874755859 5473.611095771832 -158.1985905136482 231.5748062133789 230.2362213134766
29.99996948242188 309.9996643066406 3	1.206966e-07	41.39692	36.24589	   41.054943    	49.54258346557617 7146.480819236944 26.56505117707799 229.3438339233398 226.2204742431641
3.333329916000366 229.999755859375 3	5.158864e-08	60.33116	18.75198	   68.725456    	39.00407791137695 16454.86046044529 -161.565051177078 228.8976389567057 222.8740234375
-5.333327770233154 100.9998931884766 3	-3.431066e-08	47.38623	4.95248	   83.027443    	79.01434326171875 5471.405550097902 -128.6598082540901 227.7263832092285 222.8740234375
-16.66664886474609 221.9997711181641 3	-6.01022e-08	39.28563	16.91167	   70.753754    	37.56675720214844 14481.41802125551 161.565051177078 224.6993588534268 217.5196838378906
0.999998927116394 5.333327770233154 3	9.16731e-09	67.1478	14.81462	   81.608879    	106.243034362793 42575.36236110952 -144.4623222080256 224.3853193713773 212.1653442382812
