-6.333326816558838 326.9996643066406 3	0.0006789849	-4.683811e-08	73.93826	6.349816	   84.3712311    	17.42299270629883 36868.41197730407 -45 225.4024494312428 214.1732177734375
-3.999995708465576 144.6665191650391 3	0.001587058	-1.324203e-07	85.80034	12.31201	   70.6033249    	24.70996475219727 64396.45464199899 90 218.6161869130236 203.4645690917969
-8.666657447814941 47.33328247070312 3	1.103868e-05	9.345626e-09	60.86433	16.65965	   80.5272827    	12.21393299102783 19008.27404585268 0 227.1766052246094 213.5039367675781
22.99997520446777 190.9998016357422 3	5.164547e-10	2.214971e-08	3.96898	53.0585	   51.3111343    	34.11824035644531 8842.59056225383 180 228.1327362060547 226.8897705078125
-11.3333215713501 69.33325958251953 3	2.432172e-08	-4.516401e-08	4.066521	20.89916	   78.7187042    	38.98765563964844 74071.73778074955 108.434948822922 223.020044222745 210.1574859619141
-17.66664886474609 215.6664428710938 3	4.499835e-05	-1.221302e-08	63.50312	7.977089	   82.9353943    	37.44613647460938 36638.87903355937 -161.565051177078 222.4437566484724 212.1653442382812
2.333330869674683 146.9998474121094 3	0.001090444	6.101934e-08	83.98534	9.217185	   84.8773499    	34.93481826782227 6863.310634458495 45 218.5905487060547 211.4960632324219
-4.333328723907471 53.33327865600586 3	8.460142e-06	-1.051856e-08	50.96712	15.18244	   79.8590698    	24.70996475219727 10957.18453463618 90 228.1446857452393 225.5511779785156
-19.99997901916504 205.6664581298828 3	7.204182e-05	-4.903118e-08	35.2426	5.390475	   78.6671600    	11.60967063903809 11618.46122248 0 226.5923038058811 220.1968536376953
-3.999995708465576 77.99991607666016 3	4.335187e-05	-1.298771e-08	54.54785	6.868931	   88.6308823    	44.47109222412109 21923.54555257161 -33.69006752597979 222.4138803482056 215.5118103027344
-4.666661739349365 155.66650390625 4	5.520786e-05	9.157272e-09	73.18259	6.332748	   83.4610214    	12.3549747467041 143710.7446333221 90 218.7945279075986 199.4488220214844
-22.99997520446777 200.3331298828125 4	0.0003054484	-1.052485e-07	61.57239	13.16216	   65.3239975    	38.78284454345703 6322.996049566156 -108.434948822922 227.0236236572266 222.2047271728516
4.333328723907471 65.66659545898438 4	5.787746e-06	2.713463e-09	57.73904	5.955947	   90.2169266    	50.93474578857422 6848.16194866524 75.96375653207353 230.905517578125 228.8976440429688
7.333325862884521 216.6664428710938 4	1.046977e-06	6.016577e-09	49.85239	24.41455	   66.2492676    	36.7620849609375 20434.24046707665 180 220.1968495686849 210.1574859619141
-11.3333215713501 330.6663208007812 4	3.387926e-05	-2.833112e-08	55.76304	21.3714	   81.7693100    	12.3549747467041 14820.06242518963 -90 225.733716097745 217.5196838378906
5.333327770233154 264.9997253417969 4	5.764551e-05	3.317245e-08	51.78138	13.62278	   80.4108810    	50.92427444458008 6838.548762360486 -104.0362434679265 229.031494140625 225.5511779785156
-2.999996900558472 117.9998779296875 4	0.0003921618	-4.033393e-08	75.81834	14.13984	   95.7421494    	12.34137439727783 352467.7199709407 0 216.2201672268285 184.0551147460938
-15.33331775665283 326.9996643066406 4	1.272272e-05	1.558042e-08	44.84297	11.09115	   75.9179077    	17.17180633544922 10597.08293763631 -135 223.1250038146973 214.842529296875
-7.333325862884521 113.6665496826172 4	0.0002651366	6.003053e-08	55.2859	7.998778	   77.6699142    	27.43744468688965 128112.8225376815 26.56505117707799 214.9279624451982 187.4015808105469
-3.333329916000366 54.33327484130859 4	3.581792e-05	-3.741442e-08	39.20993	14.87058	   88.3032227    	0 12341.8192323455 0 216.1067369249132 207.4803161621094
22.99997520446777 280.6663818359375 4	2.248775e-05	-7.5274e-08	45.72941	22.37788	   54.4959526    	72.73004913330078 13901.11559501479 161.565051177078 220.6836076216264 212.1653442382812
-1.999997854232788 108.6665496826172 4	0.0001637734	2.608117e-08	75.56783	14.11249	   89.2229691    	72.02250671386719 635249.8307025883 120.9637565320735 222.2582114036346 198.7795257568359
-1.999997854232788 316.9996643066406 4	0.0003020167	3.769829e-08	75.39713	9.788538	   79.9536896    	39.04452133178711 43937.45640645958 161.565051177078 221.953742980957 210.8267669677734
-5.666660785675049 325.3330078125 4	0.0006351577	-5.117779e-08	78.4902	10.47098	   86.3836365    	34.86918640136719 5469.919753955615 -135 217.1850395202637 214.1732177734375
-26.66663932800293 181.3331451416016 4	4.909888e-07	-3.382073e-08	25.0081	21.4228	   40.7301788    	77.50909423828125 12283.70197366906 180 227.2913391113281 221.5354309082031
4.666661739349365 242.3330841064453 4	2.756006e-05	3.207003e-08	46.76956	14.79638	   73.1263657    	17.44586181640625 43823.11888652363 135 220.1341061592102 207.4803161621094
